_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
67b6f8036de0b0fec4aa69b3,,65.45,92.73,65.45,68.74,152;0;0;0,words,25,-1,0,27.87,0,0,false,false,english,,normal,false,false,false,,1740044291000
67b6f7e46de0b0fec4aa683f,,60.32,94.29,60.32,65.57,132;0;0;0,words,25,-1,0,26.26,0,0,false,false,english,,normal,false,false,false,,1740044260000
67b6f7c66de0b0fec4aa66fa,,55.33,88.59,55.33,62.9,130;0;0;0,words,25,-1,1,28.19,0,10.93,false,false,english,,normal,false,false,false,,1740044230000
67b6d9366de0b0fec4a92717,,54.73,84.15,54.73,59.92,136;0;0;0,words,25,-1,2,29.82,0,5.27,false,false,english,,normal,false,false,false,,1740036406000
67b6b5ff6de0b0fec4a7bfa2,,60.92,90.96,60.92,68.19,146;0;0;0,words,25,-1,0,28.76,0,0,false,false,english,,normal,false,false,false,,1740027391000
67b6ae686de0b0fec4a772a8,,58.59,87.76,58.59,60.95,536;0;0;0,words,100,-1,0,109.78,0,0,false,false,english,,normal,false,false,false,,1740025448000
67b6a5946de0b0fec4a71b25,,61.52,90.44,61.52,65.85,544;0;0;0,words,100,-1,17,106.1,0,47.94,false,false,english,,normal,false,false,false,,1740023188000
67b5e0966de0b0fec49d3862,,90,94.55,90,81.74,52;0;0;0,words,10,-1,0,6.93,0,0,false,false,english,,normal,false,false,false,,1739972758000
67b5e08e6de0b0fec49d37ba,,79.39,92.73,89.31,63.33,48;2;0;0,words,10,-1,9,7.26,0,12.5,false,false,english,,normal,false,false,false,,1739972750000
67b5e06e6de0b0fec49d35bf,,77.36,98.04,77.36,78.85,50;0;0;0,words,10,-1,13,7.76,0,32.4,false,false,english,,normal,false,false,false,,1739972718000
67b5e0356de0b0fec49d3213,,77.94,93.43,81.05,63,125;2;0;0,words,25,-1,4,19.25,0,8.5,false,false,english,,normal,false,false,false,,1739972661000
67b5e0136de0b0fec49d2fdf,,57.63,87.28,57.63,55.25,149;0;0;0,words,25,-1,0,31.03,0,0,false,false,english,,normal,false,false,false,,1739972626000
67b5dff26de0b0fec49d2dda,,73.85,97.58,76.35,64.82,118;0;0;1,words,25,-1,4,19.17,0,4.97,false,false,english,,normal,false,false,false,,1739972594000
67b5dfd46de0b0fec49d2c27,,65.66,93.8,69.62,68.6,116;1;0;0,words,25,-1,0,21.2,0,0,false,false,english,,normal,false,false,false,,1739972564000
67b5df576de0b0fec49d24d8,,67.92,96.38,67.92,75.28,133;0;0;0,words,25,-1,1,23.5,0,10.76,false,false,english,,normal,false,false,false,,1739972439000
67b5de636de0b0fec49d1660,,52.59,85.43,52.59,53.02,121;0;0;0,words,25,-1,1,27.61,0,1.93,false,false,english,,normal,false,false,false,,1739972195000
67b5de446de0b0fec49d14ac,,61.54,92.76,61.54,64.02,140;0;0;0,words,25,-1,2,27.3,0,0.06,false,false,english,,normal,false,false,false,,1739972164000
67b401ee6de0b0fec487333a,,64.42,92.14,67.61,58.43,121;1;0;0,words,25,-1,47,22.54,0,197.68,false,false,english,,normal,false,false,false,,1739850222000
67b350046de0b0fec47f94fd,,56.47,92.21,56.47,65.99,138;0;0;0,words,25,-1,0,29.33,0,0,false,false,english,,normal,false,false,false,,1739804676000
67b34fe46de0b0fec47f9321,,60.32,90,60.32,56.92,126;0;0;0,words,25,-1,2,25.07,0,5.58,false,false,english,,normal,false,false,false,,1739804644000
67b34fc16de0b0fec47f914d,,59.4,96.43,59.4,68.38,134;0;0;0,words,25,-1,1,27.07,0,3.36,false,false,english,,normal,false,false,false,,1739804609000
67b34f9f6de0b0fec47f8f13,,48.9,89.4,48.9,61.89,133;0;0;0,words,25,-1,0,32.64,0,0,false,false,english,,normal,false,false,false,,1739804575000
67b329326de0b0fec47d842c,,67.99,92.74,72.94,64.09,110;3;1;0,words,25,-1,0,19.41,0,0,false,false,english,,normal,false,false,false,,1739794738000
67b315e66de0b0fec47ca9eb,,59.14,90.91,59.14,65.49,119;0;0;0,words,25,-1,4,24.15,0,12.23,false,false,english,,normal,false,false,false,,1739789798000
67b315b66de0b0fec47ca7af,,62.08,90.71,62.08,68.79,127;0;0;0,words,25,-1,0,24.55,0,0,false,false,english,,normal,false,false,false,,1739789750000
67b3159c6de0b0fec47ca677,,46.62,81.18,53.6,60.64,127;2;6;0,words,25,-1,1,32.69,0,1.33,false,false,english,,normal,false,false,false,,1739789724000
67b315146de0b0fec47ca052,,74.87,95,83.19,82.91,36;1;0;0,words,10,-1,11,5.77,0,11.23,false,false,english,,normal,false,false,false,,1739789588000
67b314d96de0b0fec47c9d98,,61.35,82.35,94.81,65.82,33;6;0;1,words,10,-1,6,6.45,0,16.25,false,false,english,,normal,false,false,false,,1739789529000
67b314b26de0b0fec47c9be2,,62.16,87.69,62.16,81.19,57;0;0;0,words,10,-1,3,11,1,3.76,false,false,english,,normal,false,false,false,,1739789490000
67b3149e6de0b0fec47c9b1d,,70.97,93.44,70.97,61.61,55;0;0;0,words,10,-1,1,9.3,0,0.81,false,false,english,,normal,false,false,false,,1739789470000
67b314916de0b0fec47c9a7c,,57.09,79.66,62.28,55.56,44;1;0;0,words,10,-1,1,9.25,0,1.23,false,false,english,,normal,false,false,false,,1739789457000
67b314846de0b0fec47c9a04,,51.71,81.36,61.56,64.5,42;1;1;0,words,10,-1,0,9.75,0,0,false,false,english,,normal,false,false,false,,1739789444000
67b314786de0b0fec47c996a,,90.76,95.83,103.73,87.53,42;1;0;0,words,10,-1,18,5.55,0,31.47,false,false,english,,normal,false,false,false,,1739789432000
67b314376de0b0fec47c96a1,,57.57,85.91,57.57,64.9,544;0;0;0,words,100,-1,13,113.4,0,48.86,false,false,english,,normal,false,false,false,,1739789367000
67b313036de0b0fec47c8994,,61.27,92.99,61.27,63.98,512;0;0;0,words,100,-1,11,100.27,0,97.88,false,false,english,,normal,false,false,false,,1739789059000
67b312016de0b0fec47c7e18,,63.29,91.12,63.29,66.94,493;0;0;0,words,100,-1,3,93.47,0,15.96,false,false,english,,normal,false,false,false,,1739788801000
67b3118e6de0b0fec47c7946,,60.12,90.83,61.52,64.14,517;3;0;0,words,100,-1,1,103.19,0,1.18,false,false,english,,normal,false,false,false,,1739788686000
67b2e78b6de0b0fec47aa125,,54.77,86.38,56.41,64.16,502;4;0;0,words,100,-1,2,109.99,0,4.8,false,false,english,,normal,false,false,false,,1739777931000
67b2e7126de0b0fec47a9c7d,,61.75,87.76,71.01,74.1,40;1;1;0,words,10,-1,7,7.77,0,27.75,false,false,english,,normal,false,false,false,,1739777810000
67b2e6e66de0b0fec47a9acb,,63.55,83.67,63.55,72.7,41;0;0;0,words,10,-1,0,7.74,0,0,false,false,english,,normal,false,false,false,,1739777766000
67b2e6dd6de0b0fec47a9a79,,66.99,87.04,71.46,44.66,45;1;0;0,words,10,-1,2,8.06,0,1.81,false,false,english,,normal,false,false,false,,1739777757000
67b2e6cf6de0b0fec47a99f5,,89.18,100,89.18,77.66,44;0;0;0,words,10,-1,3,5.92,0,11.2,false,false,english,,normal,false,false,false,,1739777743000
67b2e6ba6de0b0fec47a991a,,80.5,96.23,80.5,56.72,49;0;0;0,words,10,-1,0,7.3,0,0,false,false,english,,normal,false,false,false,,1739777722000
67b2e6816de0b0fec47a96d8,,75.69,96.08,75.69,74.84,48;0;0;0,words,10,-1,7,7.61,0,17.49,false,false,english,,normal,false,false,false,,1739777665000
67b2e6616de0b0fec47a9594,,54.5,82.61,54.5,52.53,55;0;0;0,words,10,-1,1,12.11,0,2.02,false,false,english,,normal,false,false,false,,1739777633000
67b2e6506de0b0fec47a9500,,48.81,81.67,48.81,53.9,47;0;0;0,words,10,-1,0,11.56,0,0,false,false,english,,normal,false,false,false,,1739777616000
67b2e6436de0b0fec47a948a,,89.91,93.1,100.29,79.53,52;2;1;0,words,10,-1,0,6.94,0,0,false,false,english,,normal,false,false,false,,1739777603000
67b2e63b6de0b0fec47a9440,,79.64,100,79.64,76.85,45;0;0;0,words,10,-1,1,6.78,0,0.47,false,false,english,,normal,false,false,false,,1739777595000
67b2e6306de0b0fec47a93d4,,49.95,84.21,55.89,53.65,42;1;0;0,words,10,-1,0,10.09,0,0,false,false,english,,normal,false,false,false,,1739777584000
67b2e6246de0b0fec47a9360,,86.6,94.44,86.6,63.91,51;0;0;0,words,10,-1,5,7.07,0,5.65,false,false,english,,normal,false,false,false,,1739777572000
67b2e6126de0b0fec47a9298,,89.44,98,89.44,81.04,49;0;0;0,words,10,-1,2,6.57,0,5.09,false,false,english,,normal,false,false,false,,1739777554000
67b2e6036de0b0fec47a9202,,68.91,87.72,74.65,62.06,48;1;0;0,words,10,-1,1,8.36,0,2.46,false,false,english,,normal,false,false,false,,1739777539000
67b2e5f66de0b0fec47a9179,,59.23,84.75,59.23,63.02,49;0;0;0,words,10,-1,2,9.93,0,3.9,false,false,english,,normal,false,false,false,,1739777526000
67b2e5e56de0b0fec47a90b9,,60.81,88.64,83.61,66.3,32;2;1;0,words,10,-1,5,6.31,0,9.73,false,false,english,,normal,false,false,false,,1739777509000
67b2e5cf6de0b0fec47a8fd6,,63.67,77.19,75.8,59.54,42;5;1;0,words,10,-1,0,7.92,0,0,false,false,english,,normal,false,false,false,,1739777487000
67b2e5c56de0b0fec47a8f5e,,95.36,92.73,107.04,58.97,49;2;1;0,words,10,-1,6,6.17,0,8.71,false,false,english,,normal,false,false,false,,1739777477000
67b2e5af6de0b0fec47a8e5c,,83.45,96.55,83.45,81.13,55;0;0;0,words,10,-1,3,7.91,0,4.26,false,false,english,,normal,false,false,false,,1739777455000
67b2e59e6de0b0fec47a8dad,,64.13,90.57,71.42,63.82,44;0;1;0,words,10,-1,3,8.23,0,10.25,false,false,english,,normal,false,false,false,,1739777438000
67b2e5866de0b0fec47a8cbc,,70.17,93.55,70.17,60.8,58;0;0;0,words,10,-1,0,9.92,0,0,false,false,english,,normal,false,false,false,,1739777414000
67b2e57b6de0b0fec47a8c37,,59.59,88.52,59.59,44.06,52;0;0;0,words,10,-1,1,10.47,0,0.77,false,false,english,,normal,false,false,false,,1739777403000
67b2e56d6de0b0fec47a8b9d,,60.63,90,60.63,61.43,53;0;0;0,words,10,-1,0,10.49,0,0,false,false,english,,normal,false,false,false,,1739777389000
67b2e5616de0b0fec47a8b23,,61.81,89.06,61.81,75.12,55;0;0;0,words,10,-1,7,10.68,0,5.34,false,false,english,,normal,false,false,false,,1739777377000
67b2e5496de0b0fec47a8a26,,63.48,84.85,80.32,59.82,49;5;0;0,words,10,-1,5,9.26,0,10.29,false,false,english,,normal,false,false,false,,1739777353000
67b2e5266de0b0fec47a88bd,true,83.18,98.39,85.96,76.35,120;1;0;0,words,25,-1,7,17.31,0,18.82,false,false,english,,normal,false,false,false,,1739777318000
67b2e4f76de0b0fec47a86c5,,59.19,82.72,59.19,62.44,131;0;0;0,words,25,-1,4,26.56,0,26.34,false,false,english,,normal,false,false,false,,1739777271000
